Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066006,1894,08,39.9,Y
IDCJAC0001,066006,1894,09,176.2,Y
IDCJAC0001,066006,1894,10,69.8,Y
IDCJAC0001,066006,1894,11,10.4,Y
IDCJAC0001,066006,1894,12,99.6,Y
IDCJAC0001,066006,1895,01,220.6,Y
IDCJAC0001,066006,1895,02,204.7,Y
IDCJAC0001,066006,1895,03,37.8,Y
IDCJAC0001,066006,1895,04,76.1,Y
IDCJAC0001,066006,1895,05,66.8,Y
IDCJAC0001,066006,1895,06,31.4,Y
IDCJAC0001,066006,1895,07,10.7,Y
IDCJAC0001,066006,1895,08,15.1,Y
IDCJAC0001,066006,1895,09,110.2,Y
IDCJAC0001,066006,1895,10,24.6,Y
IDCJAC0001,066006,1895,11,76.3,Y
IDCJAC0001,066006,1895,12,86.4,Y
IDCJAC0001,066006,1896,01,42.9,Y
IDCJAC0001,066006,1896,02,120.9,Y
IDCJAC0001,066006,1896,03,102.4,Y
IDCJAC0001,066006,1896,04,3.3,Y
IDCJAC0001,066006,1896,05,99.6,Y
IDCJAC0001,066006,1896,06,269.0,Y
IDCJAC0001,066006,1896,07,51.3,Y
IDCJAC0001,066006,1896,08,39.9,Y
IDCJAC0001,066006,1896,09,7.9,Y
IDCJAC0001,066006,1896,10,50.8,Y
IDCJAC0001,066006,1896,11,136.4,Y
IDCJAC0001,066006,1896,12,43.2,Y
IDCJAC0001,066006,1897,01,32.3,Y
IDCJAC0001,066006,1897,02,8.9,Y
IDCJAC0001,066006,1897,03,98.0,Y
IDCJAC0001,066006,1897,04,163.8,Y
IDCJAC0001,066006,1897,05,87.6,Y
IDCJAC0001,066006,1897,06,205.7,Y
IDCJAC0001,066006,1897,07,157.2,Y
IDCJAC0001,066006,1897,08,115.8,Y
IDCJAC0001,066006,1897,09,30.7,Y
IDCJAC0001,066006,1897,10,30.7,Y
IDCJAC0001,066006,1897,11,4.1,Y
IDCJAC0001,066006,1897,12,135.4,Y
IDCJAC0001,066006,1898,01,139.7,Y
IDCJAC0001,066006,1898,02,116.3,Y
IDCJAC0001,066006,1898,03,41.4,Y
IDCJAC0001,066006,1898,04,12.4,Y
IDCJAC0001,066006,1898,05,313.4,Y
IDCJAC0001,066006,1898,06,167.9,Y
IDCJAC0001,066006,1898,07,74.7,Y
IDCJAC0001,066006,1898,08,130.8,Y
IDCJAC0001,066006,1898,09,30.5,Y
IDCJAC0001,066006,1898,10,97.5,Y
IDCJAC0001,066006,1898,11,11.9,Y
IDCJAC0001,066006,1898,12,26.4,Y
IDCJAC0001,066006,1899,01,52.8,Y
IDCJAC0001,066006,1899,02,30.7,Y
IDCJAC0001,066006,1899,03,73.7,Y
IDCJAC0001,066006,1899,04,86.1,Y
IDCJAC0001,066006,1899,05,162.1,Y
IDCJAC0001,066006,1899,06,287.5,Y
IDCJAC0001,066006,1899,07,102.6,Y
IDCJAC0001,066006,1899,08,373.9,Y
IDCJAC0001,066006,1899,09,0.0,Y
IDCJAC0001,066006,1899,10,90.2,Y
IDCJAC0001,066006,1899,11,131.1,Y
IDCJAC0001,066006,1899,12,20.3,Y
IDCJAC0001,066006,1900,01,43.7,Y
IDCJAC0001,066006,1900,02,39.1,Y
IDCJAC0001,066006,1900,03,109.2,Y
IDCJAC0001,066006,1900,04,151.9,Y
IDCJAC0001,066006,1900,05,319.0,Y
IDCJAC0001,066006,1900,06,282.7,Y
IDCJAC0001,066006,1900,07,326.9,Y
IDCJAC0001,066006,1900,08,12.4,Y
IDCJAC0001,066006,1900,09,64.8,Y
IDCJAC0001,066006,1900,10,2.5,Y
IDCJAC0001,066006,1900,11,187.7,Y
IDCJAC0001,066006,1900,12,44.5,Y
IDCJAC0001,066006,1901,01,161.5,Y
IDCJAC0001,066006,1901,02,37.8,Y
IDCJAC0001,066006,1901,03,83.6,Y
IDCJAC0001,066006,1901,04,356.6,Y
IDCJAC0001,066006,1901,05,46.5,Y
IDCJAC0001,066006,1901,06,23.6,Y
IDCJAC0001,066006,1901,07,101.3,Y
IDCJAC0001,066006,1901,08,109.5,Y
IDCJAC0001,066006,1901,09,73.7,Y
IDCJAC0001,066006,1901,10,45.7,Y
IDCJAC0001,066006,1901,11,17.3,Y
IDCJAC0001,066006,1901,12,8.6,Y
IDCJAC0001,066006,1902,01,58.4,Y
IDCJAC0001,066006,1902,02,7.6,Y
IDCJAC0001,066006,1902,03,52.6,Y
IDCJAC0001,066006,1902,04,64.3,Y
IDCJAC0001,066006,1902,05,34.0,Y
IDCJAC0001,066006,1902,06,22.9,Y
IDCJAC0001,066006,1902,07,284.5,Y
IDCJAC0001,066006,1902,08,163.6,Y
IDCJAC0001,066006,1902,09,49.8,Y
IDCJAC0001,066006,1902,10,268.7,Y
IDCJAC0001,066006,1902,11,72.6,Y
IDCJAC0001,066006,1902,12,63.5,Y
IDCJAC0001,066006,1903,01,49.0,Y
IDCJAC0001,066006,1903,02,26.2,Y
IDCJAC0001,066006,1903,03,93.2,Y
IDCJAC0001,066006,1903,04,45.5,Y
IDCJAC0001,066006,1903,05,80.5,Y
IDCJAC0001,066006,1903,06,47.5,Y
IDCJAC0001,066006,1903,07,120.4,Y
IDCJAC0001,066006,1903,08,143.0,Y
IDCJAC0001,066006,1903,09,126.7,Y
IDCJAC0001,066006,1903,10,94.7,Y
IDCJAC0001,066006,1903,11,61.0,Y
IDCJAC0001,066006,1903,12,101.6,Y
IDCJAC0001,066006,1904,01,48.8,Y
IDCJAC0001,066006,1904,02,98.6,Y
IDCJAC0001,066006,1904,03,132.3,Y
IDCJAC0001,066006,1904,04,332.5,Y
IDCJAC0001,066006,1904,05,146.3,Y
IDCJAC0001,066006,1904,06,4.6,Y
IDCJAC0001,066006,1904,07,274.8,Y
IDCJAC0001,066006,1904,08,37.3,Y
IDCJAC0001,066006,1904,09,27.4,Y
IDCJAC0001,066006,1904,10,62.7,Y
IDCJAC0001,066006,1904,11,12.4,Y
IDCJAC0001,066006,1904,12,21.3,Y
IDCJAC0001,066006,1905,01,43.2,Y
IDCJAC0001,066006,1905,02,52.3,Y
IDCJAC0001,066006,1905,03,204.0,Y
IDCJAC0001,066006,1905,04,141.2,Y
IDCJAC0001,066006,1905,05,143.3,Y
IDCJAC0001,066006,1905,06,58.2,Y
IDCJAC0001,066006,1905,07,11.4,Y
IDCJAC0001,066006,1905,08,17.8,Y
IDCJAC0001,066006,1905,09,69.3,Y
IDCJAC0001,066006,1905,10,64.0,Y
IDCJAC0001,066006,1905,11,9.9,Y
IDCJAC0001,066006,1905,12,42.9,Y
IDCJAC0001,066006,1906,01,58.4,Y
IDCJAC0001,066006,1906,02,9.7,Y
IDCJAC0001,066006,1906,03,99.3,Y
IDCJAC0001,066006,1906,04,23.9,Y
IDCJAC0001,066006,1906,05,213.6,Y
IDCJAC0001,066006,1906,06,54.9,Y
IDCJAC0001,066006,1906,07,5.6,Y
IDCJAC0001,066006,1906,08,131.6,Y
IDCJAC0001,066006,1906,09,33.0,Y
IDCJAC0001,066006,1906,10,48.0,Y
IDCJAC0001,066006,1906,11,109.5,Y
IDCJAC0001,066006,1906,12,33.8,Y
IDCJAC0001,066006,1907,01,66.0,Y
