"Product.code","Station.number","Year","Month","Rainfall","Quality"
"IDCJAC0001",66006,1977,12,30.8,"Y"
"IDCJAC0001",66006,1978,1,225.4,"Y"
"IDCJAC0001",66006,1978,2,15.4,"Y"
"IDCJAC0001",66006,1978,3,250.2,"Y"
"IDCJAC0001",66006,1978,4,141,"Y"
"IDCJAC0001",66006,1978,5,118.2,"Y"
"IDCJAC0001",66006,1978,6,301.8,"Y"
"IDCJAC0001",66006,1978,7,19.4,"Y"
"IDCJAC0001",66006,1978,8,37.2,"Y"
"IDCJAC0001",66006,1978,9,113.6,"Y"
"IDCJAC0001",66006,1978,10,88.3,"Y"
"IDCJAC0001",66006,1978,11,96.8,"Y"
"IDCJAC0001",66006,1978,12,93,"Y"
"IDCJAC0001",66006,1979,1,122.1,"Y"
"IDCJAC0001",66006,1979,2,16.1,"Y"
"IDCJAC0001",66006,1979,3,200.2,"Y"
"IDCJAC0001",66006,1979,4,24.6,"Y"
"IDCJAC0001",66006,1979,5,121.2,"Y"
"IDCJAC0001",66006,1979,6,169.4,"Y"
"IDCJAC0001",66006,1979,7,26.4,"Y"
"IDCJAC0001",66006,1979,8,9.2,"Y"
"IDCJAC0001",66006,1979,9,28,"Y"
"IDCJAC0001",66006,1979,10,50,"Y"
"IDCJAC0001",66006,1979,11,91.8,"Y"
"IDCJAC0001",66006,1979,12,2.6,"Y"
"IDCJAC0001",66006,1980,1,169.7,"Y"
"IDCJAC0001",66006,1980,2,81.4,"Y"
"IDCJAC0001",66006,1980,3,76.2,"Y"
"IDCJAC0001",66006,1980,4,22.6,"Y"
"IDCJAC0001",66006,1980,5,132.1,"Y"
"IDCJAC0001",66006,1980,6,47.4,"Y"
"IDCJAC0001",66006,1980,7,52.4,"Y"
"IDCJAC0001",66006,1980,8,14.8,"Y"
"IDCJAC0001",66006,1980,9,5.5,"Y"
"IDCJAC0001",66006,1980,10,34.1,"Y"
"IDCJAC0001",66006,1980,11,41.2,"Y"
"IDCJAC0001",66006,1980,12,50.2,"Y"
"IDCJAC0001",66006,1981,1,64.4,"Y"
"IDCJAC0001",66006,1981,2,208,"Y"
"IDCJAC0001",66006,1981,3,38.2,"Y"
"IDCJAC0001",66006,1981,4,133.4,"Y"
"IDCJAC0001",66006,1981,5,90,"Y"
"IDCJAC0001",66006,1981,6,43.4,"Y"
"IDCJAC0001",66006,1981,7,39.8,"Y"
"IDCJAC0001",66006,1981,8,10.4,"Y"
"IDCJAC0001",66006,1981,9,4,"Y"
"IDCJAC0001",66006,1981,10,244,"Y"
"IDCJAC0001",66006,1981,11,126.8,"Y"
